launch_date,phi_at_launch,D_mGy,H_mSv,REID_median,REID_p5,REID_p95,panel
2004-10-01,627.0933333333334,378.6409257856427,1286.5604332445112,0.05013350344455575,0.013867892099674865,0.17215818815372705,real
2004-11-01,638.3193548387097,376.09419443805143,1279.5794695403226,0.04986147567278008,0.013792643981592074,0.17122404621074097,real
2004-12-01,660.4066666666666,375.1572140477441,1276.2835855838855,0.04973304469867791,0.013757117501918159,0.17078301491858922,real
2005-01-01,703.3870967741935,368.10055319638997,1254.2249324528148,0.04887348339541294,0.013519346299274853,0.1678312859068554,real
2005-02-01,708.9645161290323,371.4484847337794,1264.5761126589196,0.04927683866354385,0.013630922130843479,0.1692164057842339,real
2005-03-01,669.7,380.4737132869668,1292.9463889129825,0.05038234549054866,0.013936726599691574,0.1730127104358569,real
2005-04-01,647.6096774193549,390.5572511866182,1324.4797060845203,0.05161110678631682,0.014276625627191517,0.17723227028742047,real
2005-05-01,668.34,400.56298851706515,1355.45613885703,0.05281816792310643,0.014610521972999902,0.18137731190674986,real
2005-06-01,668.6709677419356,418.5148387537266,1410.7238165850395,0.054971787947594775,0.015206254727969508,0.18877283178693413,real
2005-07-01,651.6533333333333,438.7768980625715,1472.6997623978045,0.057386809591815774,0.01587429620281826,0.19706600345966455,real
2005-08-01,671.516129032258,462.9070671970263,1546.681285953272,0.06026965354547918,0.01667174633382333,0.20696567449186157,real
2005-09-01,723.6129032258065,491.15574537955115,1633.893845203748,0.06366807232676103,0.017611814386726255,0.2186358267807421,real
2005-10-01,687.7066666666667,521.2753886602384,1726.3264655131065,0.06726990164540592,0.018608149709823187,0.2310044897891562,real
2005-11-01,610.8741935483871,541.7550792658242,1789.1646457286802,0.06971852204665865,0.019285485247627562,0.23941303941749265,real
2005-12-01,598.1666666666667,554.5565899766904,1827.808024675567,0.07122434168908104,0.019702023947057952,0.24458401617981745,real
2006-01-01,590.7645161290322,566.6675819552338,1863.6722253232003,0.07262186486812834,0.02008860576006164,0.2493831034543325,real
2006-02-01,564.6516129032258,580.0696390059899,1904.4212522181738,0.07420973546278793,0.020527841332323982,0.2548358427567333,real
2006-03-01,536.5999999999999,588.6649806626211,1932.0184594355026,0.0752851180467222,0.02082531285566093,0.2585287009154882,real
2006-04-01,519.4645161290323,587.1434038709266,1926.8056171411008,0.07508198880353284,0.020769123396850137,0.25783115615867325,real
2006-05-01,508.5733333333333,585.504547075282,1921.0283015449766,0.07485686368398586,0.020706849455228313,0.25705807767769373,real
2006-06-01,501.6677419354839,587.5805175103462,1927.3090445598752,0.0751016059000804,0.020774549863375284,0.25789852116543355,real
2006-07-01,509.00666666666666,591.9332594774294,1942.658205824986,0.07569971789643246,0.02093999915494744,0.2599524346270942,real
2006-08-01,516.8129032258064,602.027485027131,1976.6647608981436,0.07702485405159791,0.021306557323728437,0.2645029452408713,real
2006-09-01,515.0967741935484,615.7417096842393,2020.876033664412,0.07874763825842006,0.02178311259814001,0.2704189771805574,real
2006-10-01,503.0133333333334,629.3002187418812,2063.8393082835228,0.08042179162148812,0.022246215645047786,0.2761680110575937,real
2006-11-01,496.73225806451615,640.2187241541892,2099.5138429199433,0.0818119240698859,0.02263075303968564,0.28094171860178196,real
2006-12-01,527.0600000000001,649.6579863799099,2130.0963397975497,0.08300363467510798,0.022960403132971766,0.2850340465761377,real
2007-01-01,521.3193548387097,666.8305228532562,2183.519193356374,0.0850853672884413,0.02353625044621625,0.29218270546307024,real
2007-02-01,496.35483870967744,677.0913088045725,2215.405725584437,0.0863278923436065,0.023879956794511457,0.2964495299922879,real
2007-03-01,490.45,684.5175984827174,2238.516855348174,0.08722846558811082,0.0241290726895626,0.29954209379535535,real
2007-04-01,474.35483870967744,690.726508713173,2257.9104759449947,0.08798417835516772,0.024338117388054144,0.3021372074778658,real
2007-05-01,462.8,691.9387800290066,2261.676442565252,0.0881309270780805,0.024378710909657323,0.3026411418234573,real
2007-06-01,459.1774193548387,691.1826620539874,2259.390667242775,0.08804185708801877,0.024354072435849857,0.30233527594426823,real
2007-07-01,458.7133333333333,689.6184657898466,2254.0303491594887,0.08783298114395244,0.024296293328955137,0.3016179970467516,real
2007-08-01,460.3806451612903,687.8982701182732,2248.2074105152055,0.08760607822743385,0.02423352761446919,0.30083881362028636,real
2007-09-01,457.2129032258065,685.0743121943952,2239.2333995659974,0.08725638722403573,0.024136796351538092,0.29963797654682583,real
2007-10-01,454.3466666666667,683.0954257495689,2232.4366337516963,0.08699153710618794,0.024063533710698293,0.29872848262982077,real
2007-11-01,459.38709677419354,683.3643384954331,2233.5243863019487,0.08703392364693313,0.024075258643789864,0.29887403778865523,real
2007-12-01,456.76,688.1249514494915,2249.1081887891496,0.08764117892657916,0.024243237143525113,0.3009593492372409,real
2008-01-01,457.33225806451617,694.944567000655,2271.37827266863,0.08850897906875115,0.024483287367603978,0.30393937037861396,real
2008-02-01,463.6161290322581,705.0454073331538,2304.195824851981,0.0897877832530807,0.024837029221382607,0.30833077724729724,real
2008-03-01,464.49310344827586,716.2052319848814,2340.485009923565,0.09120186683421368,0.025228191960383322,0.31318673285580606,real
2008-04-01,464.7935483870968,730.3541264096366,2386.14642316632,0.09298115878112673,0.025720378363452066,0.31929681207889166,real
2008-05-01,466.4266666666667,744.9663951871859,2432.896877467635,0.09480288747819143,0.02622430358850071,0.3255526188796503,real
2008-06-01,464.9225806451613,761.242864117025,2484.595831072046,0.09681744474393171,0.026781568907506374,0.33247059797491413,real
2008-07-01,457.2,778.4392508886306,2537.8254000592497,0.09889164562188223,0.027355332797761537,0.3395933929220047,real
2008-08-01,445.39032258064515,796.6544822062185,2592.9310829958763,0.10103895318236039,0.027949319403673893,0.3469672358338522,real
2008-09-01,435.0387096774193,813.4067384571711,2643.539309970804,0.10301100801617182,0.028494827731855757,0.35373926180056425,real
2008-10-01,430.4,828.2156958863087,2688.6261498900312,0.10476791051836865,0.028980820783529468,0.35977245578780404,real
2008-11-01,425.0935483870968,843.6044145919973,2735.514760227287,0.10659502275275094,0.029486235198630775,0.36604674962750405,real
2008-12-01,418.8466666666667,853.8638089803593,2768.5522128083758,0.10788239581349128,0.029842347368571578,0.3704675819728854,real
2009-01-01,414.1774193548387,866.2823391888493,2807.115396554401,0.10938509048309875,0.030258021640367068,0.37562782759493696,real
